#{"t_start": 1768235997.5382318, "env_id": "None"}
r,l,t
0.81,20,11.084888
-1.01,2,11.090397
-1.01,2,11.097405
0.86,15,11.143672
-0.29999998,30,11.23624
-1.0699999,8,11.262754
-1.01,2,11.270762
0.88,13,11.303284
0.87,14,11.342812
0.90000004,11,11.375833
-1.15,16,11.42036
-0.29999998,30,11.516935
0.76,25,11.591599
0.88,13,11.630131
0.82,19,11.694676
0.87,14,11.739708
-0.29999998,30,11.833773
-1.12,13,11.873487
-1.05,6,11.894504
-0.29999998,30,11.992091
-0.29999998,30,12.082648
0.94,7,12.103666
0.93,8,12.127699
0.87,14,12.174239
-0.29999998,30,12.271801
-0.29999998,30,12.360886
-0.29999998,30,12.461952
-0.29999998,30,12.56079
-0.29999998,30,12.655855
-1.05,6,12.674868
0.93,8,12.701883
-1.01,2,12.709391
0.79999995,21,12.773448
0.85,16,12.824992
0.78,23,12.900542
-0.29999998,30,12.997755
0.90000004,11,13.03227
-0.29999998,30,13.132842
-0.29999998,30,13.22191
-1.01,2,13.226409
-1.13,14,13.272445
0.86,15,13.322981
-0.29999998,30,13.409037
0.77,24,13.48559
-0.29999998,30,13.582154
0.91,10,13.611675
0.76,25,13.69023
-0.29999998,30,13.785792
-0.29999998,30,13.872353
-1.01,2,13.877353
-0.29999998,30,13.977927
0.76,25,14.061486
-1.0699999,8,14.086499
0.74,27,14.176064
-0.29999998,30,14.272701
-0.29999998,30,14.369379
-1.09,10,14.402426
-1.02,3,14.411433
-0.29999998,30,14.507514
0.88,13,14.550555
-0.29999998,30,14.644131
0.72,29,14.742722
0.78999996,22,14.811273
-0.29999998,30,14.901843
0.87,14,14.947888
-1.02,3,14.956395
-0.29999998,30,15.054968
-1.05,6,15.069979
-1.03,4,15.080986
0.79999995,21,15.14404
-0.29999998,30,15.236757
-1.04,5,15.252764
0.87,14,15.300299
-0.29999998,30,15.396374
0.71000004,30,15.489936
-0.29999998,30,15.590492
0.78,23,15.667188
-0.29999998,30,15.766243
-0.29999998,30,15.855307
0.83,18,15.908591
-1.04,5,15.925599
-0.29999998,30,16.028169
-0.29999998,30,16.132892
0.73,28,16.236466
0.91,10,16.262987
-0.29999998,30,16.361053
-1.13,14,16.399583
-0.29999998,30,16.48515
0.94,7,16.504164
-0.29999998,30,16.591643
0.91,10,16.621166
-1.02,3,16.628666
-1.04,5,16.64118
-1.01,2,16.64718
-0.29999998,30,16.737244
-0.29999998,30,16.8248
-0.29999998,30,16.917862
