#{"t_start": 1768230307.8922098, "env_id": "None"}
r,l,t
-1.09,10,0.874852
-1.06,7,0.875863
-1.06,7,0.876353
-1.01,2,0.876853
-1.04,5,0.878852
-1.01,2,0.879353
-1.03,4,0.879852
-1.05,6,0.880352
-1.13,14,0.883855
-1.11,12,0.884355
-1.28,29,0.886853
-1.0699999,8,0.902853
-1.1,11,0.941535
-1.05,6,0.95454
-1.11,12,0.979544
-1.1800001,19,1.025043
-1.02,3,1.036547
-1.04,5,1.049547
-1.01,2,1.054547
-1.06,7,1.072178
-1.03,4,1.084177
-1.0699999,8,1.102176
-1.17,18,1.14368
-1.14,15,1.179684
-1.15,16,1.218689
-1.06,7,1.233689
-1.08,9,1.255189
-1.04,5,1.2717
-1.03,4,1.285203
-1.09,10,1.314704
-1.21,22,1.367216
-1.03,4,1.376722
-1.19,20,1.425226
-1.12,13,1.455729
-1.08,9,1.478231
-1.1,11,1.503238
-1.12,13,1.550785
-1.03,4,1.559785
0.68000007,33,1.6408
-1.3699999,38,1.73632
-1.04,5,1.750326
-1.01,2,1.755325
-1.11,12,1.785328
-1.01,2,1.791327
-1.12,13,1.826334
-1.06,7,1.842834
-1.04,5,1.853838
-1.02,3,1.859841
-1.06,7,1.879337
-1.02,3,1.885841
-1.02,3,1.893344
-1.03,4,1.902844
-1.02,3,1.912848
-1.04,5,1.924851
0.86,15,1.960355
-1.01,2,1.965355
-1.01,2,1.972355
-1.01,2,1.977355
-1.04,5,1.989355
-1.05,6,2.00386
-1.05,6,2.02136
-1.01,2,2.026364
-1.01,2,2.03087
-1.15,16,2.067372
-1.01,2,2.075373
-1.16,17,2.114852
-1.04,5,2.126357
-1.02,3,2.133356
-1.03,4,2.14586
-1.23,24,2.202363
-1.11,12,2.230864
-1.13,14,2.266381
-1.01,2,2.274379
-1.0699999,8,2.295883
-1.03,4,2.306886
-1.03,4,2.316886
-1.01,2,2.324387
-1.05,6,2.338392
-1.31,32,2.415397
-1.04,5,2.428897
-1.09,10,2.455901
-1.01,2,2.461403
-1.04,5,2.472401
-1.02,3,2.478901
-1.03,4,2.490914
-1.12,13,2.522912
-1.21,22,2.575919
-1.09,10,2.597927
-1.24,25,2.658974
-1.05,6,2.672979
-1.03,4,2.683481
-1.04,5,2.694982
-1.1,11,2.722986
-1.08,9,2.755491
-1.1,11,2.783494
-1.03,4,2.792995
-0.4999998,50,2.946042
-1.09,10,2.971046
-1.13,14,3.072575
-1.03,4,3.086076
-1.01,2,3.094577
-1.4599998,47,3.210598
-1.01,2,3.215597
-1.03,4,3.230103
-1.05,6,3.248104
-1.02,3,3.255109
-1.02,3,3.262612
-1.03,4,3.275112
-1.01,2,3.283115
-1.21,22,3.340127
-1.04,5,3.353126
-1.3,31,3.441161
-1.1,11,3.473872
-1.01,2,3.47887
-1.08,9,3.501371
-1.04,5,3.512869
-1.03,4,3.525869
-1.02,3,3.53587
-1.01,2,3.541369
-1.13,14,3.582378
-1.04,5,3.599878
-1.15,16,3.639379
-1.03,4,3.64988
-1.01,2,3.655887
-1.01,2,3.665887
-1.05,6,3.679391
-1.04,5,3.693391
-1.03,4,3.703391
-1.03,4,3.717396
-1.01,2,3.721896
-1.0699999,8,3.740896
-1.02,3,3.748396
-1.0699999,8,3.772428
-1.01,2,3.777429
-1.2,21,3.824933
-1.09,10,3.847438
-1.23,24,3.916477
-1.09,10,3.941084
-1.11,12,3.978712
-1.01,2,3.983212
0.89,12,4.017725
-1.11,12,4.047229
-1.01,2,4.052229
-1.14,15,4.087238
-1.13,14,4.121742
-1.05,6,4.135751
0.72,29,4.209768
-1.05,6,4.225278
-1.1,11,4.253782
-0.4999998,50,4.367311
-1.23,24,4.422817
0.86,15,4.455828
-1.1800001,19,4.502831
-1.15,16,4.542849
-0.4999998,50,4.66388
-1.03,4,4.672379
-1.1,11,4.701884
-1.17,18,4.743896
-1.03,4,4.752902
-1.08,9,4.773402
-1.05,6,4.789403
-1.17,18,4.834479
-1.11,12,4.860987
-1.05,6,4.873492
-1.03,4,4.886996
-1.4499998,46,4.989029
-1.01,2,4.994529
-1.4799998,49,5.105054
-1.0699999,8,5.126552
-1.17,18,5.167563
-1.14,15,5.200569
-1.05,6,5.215073
-1.02,3,5.224073
-1.03,4,5.232573
-1.01,2,5.239573
-1.09,10,5.265588
-1.02,3,5.274089
-1.04,5,5.285094
0.79999995,21,5.330593
-1.12,13,5.359594
-1.04,5,5.373598
-1.4399998,45,5.47812
-1.02,3,5.485633
-1.3699999,38,5.571651
-1.0699999,8,5.596653
-1.03,4,5.606652
-1.01,2,5.611657
-1.05,6,5.625156
-1.03,4,5.637156
-1.02,3,5.644156
-1.06,7,5.661165
-1.3299999,34,5.737218
-1.13,14,5.774223
-1.03,4,5.786228
0.83,18,5.829236
-1.0699999,8,5.84674
-1.28,29,5.917747
-1.14,15,5.952751
-1.03,4,5.961751
-1.04,5,5.973569
-1.08,9,5.999763
-1.03,4,6.008766
-1.14,15,6.041767
-1.14,15,6.076267
-1.08,9,6.100712
-1.06,7,6.11826
-1.05,6,6.131365
-1.0699999,8,6.149864
-1.22,23,6.213437
-1.22,23,6.272947
-1.17,18,6.324459
-1.3299999,34,6.426495
-1.09,10,6.4626
0.83,18,6.527117
-1.24,25,6.600126
-1.02,3,6.608124
-1.23,24,6.690678
-1.14,15,6.746708
-1.09,10,6.784225
-1.02,3,6.793225
-1.14,15,6.84173
-1.15,16,6.883738
-1.04,5,6.897237
-1.03,4,6.909254
0.68000007,33,7.014434
-1.08,9,7.043936
-1.1800001,19,7.106174
-1.13,14,7.144683
-1.01,2,7.154185
-1.09,10,7.18219
