#{"t_start": 1768229977.6357324, "env_id": "None"}
r,l,t
-12.25,20,0.009
-3.75,4,0.0095
-1.875,2,0.010499
-6.0,10,0.0115
-2.875,3,0.014499
-8.875,11,0.016
-3.75,4,0.0165
-5.875,7,0.0175
-12.0,13,0.021
-1.875,2,0.021506
-20.75,24,0.0245
-11.875,13,0.083526
-1.875,2,0.10465
-28.625,40,0.298199
-6.25,7,0.330698
-2.75,3,0.345703
-8.625,16,0.426212
-3.875,4,0.45272
-4.875,5,0.481733
-4.5,5,0.51174
-9.25,10,0.570853
-2.875,3,0.586852
-18.125,20,0.682371
-5.625,6,0.712381
-4.75,5,0.739385
-12.25,21,0.840407
-3.875,4,0.860406
-1.875,2,0.868915
-10.125,17,0.951923
-1.875,2,0.961514
-20.625,34,1.127536
-12.25,19,1.244565
-19.375,25,1.36809
-4.0,5,1.392094
-2.875,3,1.406099
-10.375,15,1.476603
-10.75,16,1.565258
-6.875,8,1.604264
-6.75,7,1.636784
-3.875,4,1.654779
-1.875,2,1.66678
-21.0,42,1.863802
-1.875,2,1.874302
-11.625,16,1.951328
-9.5,10,2.001832
-3.625,4,2.022336
-6.375,7,2.061918
-4.5,5,2.085425
-1.875,2,2.096426
-18.125,21,2.218938
-17.75,20,2.31195
-7.75,9,2.354508
-6.25,8,2.39652
-1.875,2,2.406024
-4.5,6,2.435524
-7.625,9,2.475533
-21.125,23,2.585043
-1.875,2,2.594043
-1.875,2,2.603544
-3.75,4,2.622553
-6.5,8,2.663557
-1.875,2,2.674557
-4.25,5,2.697565
-2.75,3,2.711064
-2.875,3,2.728072
-1.875,2,2.737073
-8.625,11,2.786577
-16.25,17,2.86656
-2.875,3,2.882564
-1.875,2,2.893064
-7.625,8,2.933568
-16.875,26,3.058593
-14.25,15,3.1311
-9.375,17,3.212123
-5.625,6,3.241623
-3.875,4,3.262123
-9.5,10,3.313146
-5.5,6,3.341645
-3.5,4,3.360149
-2.875,3,3.374649
-7.625,8,3.415334
-5.625,6,3.445337
-8.25,11,3.504353
-8.5,11,3.556364
-6.125,8,3.600373
-5.625,6,3.631384
-1.875,2,3.640883
-16.25,17,3.723897
-7.625,10,3.772401
-1.875,2,3.781905
-5.75,6,3.810412
-1.875,2,3.819916
-6.0,8,3.862434
-3.25,4,3.881434
-1.875,2,3.891439
-2.875,3,3.905446
-1.875,2,3.918443
-10.5,15,3.989955
-1.875,2,4.000463
-2.875,3,4.01598
-3.5,4,4.037983
-7.625,9,4.077482
-4.875,9,4.122491
-3.25,4,4.1415
-12.5,16,4.221509
-1.875,2,4.231515
-3.75,4,4.249515
-4.375,5,4.276523
-2.875,3,4.293023
-7.875,10,4.340531
-1.875,2,4.351039
-2.875,3,4.365535
-8.5,10,4.414043
-13.875,15,4.486057
-2.875,3,4.500556
-9.5,11,4.553567
-4.75,5,4.579072
-1.875,2,4.588571
-6.75,7,4.622576
-3.75,4,4.64208
-4.75,5,4.670087
-2.875,3,4.686087
-5.375,7,4.720587
-1.875,2,4.730587
-1.875,2,4.742587
-1.875,2,4.753097
-2.75,3,4.767625
-3.25,4,4.787626
-10.875,13,4.852138
-6.0,7,4.889163
-4.75,5,4.911664
-4.125,5,4.934665
-1.875,2,4.946664
-9.625,18,5.038687
-7.5,8,5.080212
-4.75,5,5.104217
-8.875,12,5.165226
-5.375,7,5.200731
-2.75,3,5.214735
-10.375,12,5.271739
-3.75,5,5.298742
-3.75,4,5.317748
-3.875,4,5.337248
-9.75,12,5.394264
-3.875,4,5.416268
-2.75,3,5.430268
-1.875,2,5.439767
-2.875,3,5.453773
-5.625,6,5.484781
-1.875,2,5.495402
-2.875,3,5.509484
-2.875,3,5.522992
-2.875,3,5.539991
-5.625,6,5.57
-4.75,5,5.593507
-5.5,6,5.621512
-5.25,6,5.652012
-2.875,3,5.665516
-8.125,9,5.710025
-7.375,11,5.763034
-11.375,21,5.863557
-1.875,2,5.874563
-2.875,3,5.888562
-2.75,3,5.904067
-6.5,7,5.939577
-2.875,3,5.953079
-9.625,10,6.00358
-2.75,3,6.018084
-5.875,7,6.055091
-5.75,6,6.084097
-2.875,3,6.098596
-9.625,17,6.18211
-1.875,2,6.194626
-2.875,3,6.20863
-7.625,9,6.252652
-2.875,3,6.266653
-1.875,2,6.278152
-4.875,5,6.301656
-1.875,2,6.312663
-2.875,3,6.327667
-2.875,3,6.345171
-5.875,6,6.372671
-5.75,6,6.402175
-2.875,3,6.417321
-1.875,2,6.430325
-4.625,5,6.45683
-1.875,2,6.46733
-3.625,4,6.496839
-1.875,2,6.510837
-2.75,3,6.526345
-1.875,2,6.534849
-4.75,5,6.559853
-1.875,2,6.571854
-4.625,5,6.598355
-1.875,2,6.610862
-5.625,6,6.642873
-2.75,3,6.660877
-1.875,2,6.671379
-1.875,2,6.680876
-1.875,2,6.692377
-4.75,5,6.720889
-6.625,16,6.796897
-3.75,5,6.823397
-1.875,2,6.833401
-3.75,4,6.855905
-1.875,2,6.865905
-3.75,4,6.887404
-3.75,4,6.905905
-3.75,5,6.93341
-1.875,2,6.942914
-2.875,3,6.957414
-8.375,12,7.016418
-1.875,2,7.030418
-3.875,4,7.051427
-3.25,4,7.068927
-1.875,2,7.079932
-2.75,3,7.096932
-6.5,7,7.132935
-1.875,2,7.14244
-1.875,2,7.153444
-6.5,11,7.206949
-1.875,2,7.215448
-3.75,4,7.234952
-5.125,7,7.268964
-1.875,2,7.280464
-2.875,3,7.295468
-2.875,3,7.308467
-4.375,5,7.332472
-1.875,2,7.343972
-3.75,4,7.362481
-1.875,2,7.371981
-2.875,3,7.385982
-2.875,3,7.402985
-5.0,9,7.445989
-4.75,5,7.468498
-6.375,7,7.501
-5.875,6,7.531005
-1.875,2,7.542013
-5.625,6,7.570524
-1.875,2,7.579022
-3.75,4,7.599522
-3.875,4,7.618029
-2.875,3,7.632529
-1.875,2,7.640424
-1.875,2,7.653034
-1.875,2,7.663538
-5.125,6,7.692542
-2.875,3,7.707546
-1.875,2,7.719554
-3.875,4,7.738546
-1.875,2,7.74805
-5.375,6,7.777226
-1.875,2,7.789735
-1.875,2,7.79924
-6.125,7,7.83379
-3.75,4,7.853795
-3.25,4,7.873798
-1.875,2,7.882303
-2.875,3,7.898302
-1.875,2,7.909303
-1.875,2,7.920802
-1.875,2,7.930302
-3.75,4,7.948302
-1.875,2,7.961308
-3.875,4,7.983316
-6.375,7,8.018821
-6.75,8,8.059827
-1.875,2,8.069326
-1.875,2,8.08133
-5.625,6,8.109335
-1.875,2,8.118338
-3.75,4,8.139338
-1.875,2,8.151339
-1.875,2,8.160838
-1.875,2,8.172344
-3.25,4,8.194353
-1.875,2,8.206357
-4.75,6,8.234853
-3.25,4,8.255853
-4.625,6,8.284863
-4.75,5,8.311366
-2.75,3,8.326866
-1.875,2,8.334866
-1.875,2,8.345866
-3.75,4,8.366866
-1.875,2,8.375868
-7.75,8,8.416379
-1.875,2,8.42638
-2.75,3,8.442884
-3.75,4,8.460385
-1.875,2,8.469384
-1.875,2,8.479384
-1.875,2,8.490884
-5.75,6,8.529398
-5.75,7,8.568583
-4.5,5,8.592587
-3.625,10,8.645107
-1.875,2,8.653611
-5.625,6,8.683111
-1.875,2,8.692615
-12.625,13,8.757631
-2.75,3,8.772132
-1.875,2,8.781132
-3.75,4,8.799636
-1.875,2,8.811635
-1.875,2,8.821141
-1.875,2,8.831145
-2.75,3,8.843966
-1.875,2,8.85715
-5.75,6,8.88715
-1.875,2,8.89715
-1.875,2,8.906154
-2.75,3,8.923659
-5.75,6,8.950663
-1.875,2,8.961663
-1.875,2,8.971167
-1.875,2,8.982667
-1.875,2,8.992167
-6.75,7,9.024672
-1.875,2,9.03418
-1.875,2,9.04668
-1.875,2,9.05718
-3.375,9,9.099684
-1.875,2,9.110185
-1.875,2,9.127688
-2.875,3,9.142681
-3.25,4,9.162185
-2.5,8,9.200185
-3.25,4,9.221186
-6.0,7,9.254195
-8.0,35,9.421716
-1.875,2,9.432216
-1.875,2,9.445225
-2.875,3,9.458725
-3.75,4,9.480227
-1.875,2,9.490725
-1.875,2,9.503725
-5.5,12,9.566246
-1.875,2,9.576746
-1.875,2,9.587753
-1.875,2,9.599252
-1.875,2,9.608753
-1.875,2,9.618753
-1.875,2,9.628253
-6.625,7,9.666266
-2.75,3,9.682766
-6.0,7,9.71727
-6.5,7,9.753274
-3.5,4,9.773778
-1.875,2,9.783279
-1.875,2,9.792279
-4.875,5,9.816283
-4.25,5,9.840286
-4.875,5,9.88681
-3.75,4,9.912809
-1.875,2,9.92131
