#{"t_start": 1768230083.2688365, "env_id": "None"}
r,l,t
-5.375,9,1.28188
-5.5,6,1.28288
-6.5,7,1.28388
-2.875,3,1.284381
-12.25,16,1.28838
-5.75,6,1.28888
-10.75,16,1.29088
-9.625,12,1.29288
-1.875,2,1.29438
-8.5,9,1.295881
-8.5,12,1.29738
-12.75,14,1.36197
-8.5,10,1.430724
-2.75,3,1.449242
-3.875,4,1.469245
-2.75,3,1.487246
-2.875,3,1.507253
-6.5,7,1.546257
-1.875,2,1.558769
-8.5,12,1.628778
-7.5,10,1.688789
-8.25,11,1.74679
-3.625,4,1.769795
-2.875,3,1.787298
-10.0,11,1.850802
-6.25,7,1.891822
-13.0,14,1.975332
-4.875,5,2.001835
-13.0,24,2.135853
-12.625,21,2.255367
-12.375,17,2.353889
-9.75,17,2.446408
-3.75,4,2.469909
-27.5,50,2.751674
-7.75,9,2.801183
-10.375,14,2.881192
-1.875,2,2.896197
-2.875,3,2.921711
-16.625,28,3.083731
-15.625,26,3.230255
-14.75,17,3.330769
-4.5,14,3.409778
-6.25,10,3.465791
-1.875,2,3.476291
-4.75,5,3.505795
-10.625,11,3.56981
-3.25,4,3.590815
-13.0,24,3.724827
-9.25,11,3.785837
-5.0,7,3.824842
-5.875,10,3.88236
-4.375,6,3.915865
-3.625,4,3.940368
-3.25,4,3.964873
-3.25,4,3.986876
-11.25,22,4.107394
-7.0,8,4.157398
-1.875,2,4.167904
-1.875,2,4.178402
-11.0,25,4.314936
-6.75,7,4.361445
-11.875,35,4.55764
-1.875,2,4.57114
-31.875,50,4.871192
-4.25,15,4.959211
-1.875,2,4.970715
-7.875,9,5.022733
-5.0,11,5.084239
-2.75,3,5.103242
-5.625,7,5.144255
-2.875,3,5.15976
-9.0,11,5.224777
-1.875,2,5.237277
-10.875,18,5.340805
-6.0,9,5.390843
-8.625,11,5.452358
-7.125,12,5.520375
-3.25,10,5.576391
-2.875,3,5.592885
-2.875,3,5.611385
-3.25,4,5.635898
-9.625,18,5.735707
-7.0,10,5.801904
-4.75,6,5.837413
-4.5,16,5.935935
-6.125,10,5.993459
-3.25,4,6.016458
-2.5,8,6.064466
-5.875,8,6.114471
-4.875,5,6.140976
-12.25,17,6.233995
-7.5,12,6.308008
-5.0,19,6.418526
-9.75,16,6.510145
-6.375,10,6.567655
-3.75,4,6.58866
-6.75,8,6.635664
-5.125,6,6.669669
-1.875,2,6.680669
-1.875,2,6.691174
-3.25,4,6.718178
-7.625,9,6.769183
-3.25,4,6.793194
-5.0,12,6.859903
-12.625,16,6.952424
-3.375,11,7.017939
-4.125,5,7.049444
-4.5,6,7.083447
-3.25,4,7.108999
-4.25,5,7.137507
-2.875,3,7.153008
-6.625,8,7.198016
-6.375,15,7.287538
-4.25,5,7.316543
-1.875,2,7.328485
-1.875,2,7.341053
-1.875,2,7.354553
-1.875,2,7.366052
-1.875,2,7.376053
-6.125,7,7.418061
-1.875,2,7.432067
-2.875,3,7.44807
-2.875,3,7.465069
-3.25,4,7.487069
-3.25,4,7.51459
-8.0,9,7.563094
-6.25,7,7.6016
-4.625,6,7.635607
-3.5,4,7.659612
-3.25,4,7.682112
-1.875,2,7.692113
-4.25,5,7.724635
-3.25,4,7.747639
-5.125,6,7.780643
-1.875,2,7.791143
-4.0,5,7.819648
-3.25,4,7.845664
-3.25,4,7.870662
-3.25,4,7.892676
-1.875,2,7.903676
-3.75,4,7.930685
-1.875,2,7.941685
-4.375,6,7.975694
-4.75,5,8.004194
-5.125,6,8.039198
-5.5,7,8.078204
-9.875,11,8.138715
-2.5,8,8.184724
-3.25,4,8.210224
-1.875,2,8.222729
-6.625,7,8.259741
-1.875,2,8.271242
-1.875,2,8.285251
-1.875,2,8.296751
-1.875,2,8.307752
-1.875,2,8.319251
-1.875,2,8.333251
-1.875,2,8.345756
-1.875,2,8.358261
-4.625,5,8.386265
-4.75,5,8.415765
-1.875,2,8.428265
-3.25,4,8.454272
-3.625,10,8.509939
-1.875,2,8.52244
-2.75,3,8.538444
-3.75,5,8.56895
-1.875,2,8.579453
-3.875,4,8.605958
-1.875,2,8.617958
-1.875,2,8.629958
-5.125,11,8.695468
