#{"t_start": 1768227787.734196, "env_id": "None"}
r,l,t
-760.17816,200,6.986204
-1657.2378,200,18.013017
-1764.2332,200,29.119682
-1480.7985,200,40.217607
-1757.5765,200,51.412465
-1772.2676,200,62.605805
-1397.8196,200,73.711599
-1397.5664,200,84.818827
-1091.2595,200,95.983613
-1278.7704,200,107.212061
-1197.202,200,118.34081
-1047.1636,200,129.467272
-1019.5124,200,140.543193
-559.52344,200,151.575347
-514.60034,200,162.645954
-256.7389,200,173.719036
-126.07016,200,184.847211
-373.74637,200,195.948806
-0.96745056,200,207.12722
-257.68127,200,218.241664
-124.041084,200,229.574614
-132.7124,200,240.854041
-243.04893,200,252.200569
-126.5841,200,263.628899
-125.97811,200,274.835089
-126.96647,200,285.886664
-127.82175,200,296.976042
-249.38078,200,308.183399
-118.94446,200,319.259887
-3.409544,200,330.368866
-2.2085404,200,341.550145
-342.9529,200,352.586787
-121.83339,200,363.64801
-258.67813,200,374.754795
-1537.5211,200,385.764999
-122.15132,200,396.871316
-116.777,200,407.958066
-312.18646,200,419.190124
-120.46253,200,430.307869
-123.95662,200,441.387383
-119.824615,200,452.794112
-332.9246,200,464.151831
-263.3413,200,475.540308
-258.2057,200,487.220189
-122.86928,200,498.389444
-1.7070603,200,510.732919
-125.89519,200,523.567807
-249.18253,200,534.360847
-116.04389,200,545.244555
-235.1197,200,556.336849
-115.98721,200,567.026736
-248.09155,200,577.013275
-121.28064,200,587.098217
-228.83371,200,597.098746
-128.5149,200,607.183515
-124.856926,200,617.320537
-129.26329,200,627.452907
-115.72593,200,637.523773
-122.41547,200,647.725602
-1.5688813,200,659.62119
-114.6203,200,670.886878
-122.29604,200,682.223326
-231.17696,200,693.754973
-115.06262,200,705.27308
-118.358635,200,716.78499
-125.19244,200,728.359376
-250.23033,200,739.886208
-124.39491,200,751.488539
-240.78917,200,763.046993
-364.4032,200,774.65345
-125.75869,200,786.204046
-121.283165,200,797.925404
-119.826515,200,809.485276
-125.91427,200,821.099663
-125.599464,200,832.818269
-124.04447,200,844.327174
-127.89249,200,855.954965
-124.277016,200,867.565174
-313.29156,200,879.03298
-122.88378,200,890.583489
-341.15292,200,902.131459
-1.3099228,200,913.67364
-257.44644,200,925.1718
-354.50647,200,939.389813
-122.17942,200,951.823852
-128.22649,200,965.888443
-115.73536,200,979.788964
-1.5493681,200,993.732135
-118.12952,200,1007.22144
-227.50632,200,1021.801809
-119.438484,200,1036.005648
-241.58095,200,1050.188617
-1.6837441,200,1064.389066
-115.047806,200,1078.681314
-1.8123171,200,1093.007348
-118.290985,200,1107.31013
-0.98370916,200,1121.555497
-235.40202,200,1135.861039
-118.72718,200,1150.082344
-1.1855291,200,1164.423466
-122.949684,200,1179.474244
-237.10542,200,1193.788743
-124.07129,200,1208.097327
-235.79399,200,1224.242392
-242.37666,200,1239.885854
-122.43476,200,1255.454262
-127.0255,200,1270.993038
-240.33102,200,1286.595526
-117.42443,200,1302.06332
-117.483955,200,1317.917179
-116.40519,200,1333.535572
-118.11635,200,1348.575871
-120.359085,200,1362.322221
-124.88382,200,1376.240384
-233.08507,200,1390.077291
-123.24335,200,1404.100996
-116.60673,200,1420.093369
-125.23669,200,1435.538834
-2.3893533,200,1451.110115
-367.50772,200,1465.802685
-116.96594,200,1478.114591
-118.38234,200,1491.820473
-116.42037,200,1504.804306
-120.554344,200,1518.529168
-128.19312,200,1532.174926
-231.85698,200,1545.81932
-225.6766,200,1559.360103
-121.08104,200,1572.834428
-118.843056,200,1586.257142
-2.1900415,200,1599.678023
-128.77191,200,1611.93861
-119.037384,200,1624.219917
-120.32201,200,1636.568437
-118.701836,200,1648.830007
-124.98097,200,1661.100664
-306.70453,200,1673.369344
-126.736984,200,1685.633495
-123.75976,200,1697.868225
-126.731094,200,1710.214117
-231.07698,200,1720.778834
-120.29786,200,1731.371876
-118.24018,200,1742.0048
-234.0124,200,1752.658223
-234.1941,200,1763.309206
-115.58943,200,1773.958631
-125.89168,200,1784.758605
-127.98019,200,1795.905072
-119.57559,200,1806.701595
-243.29315,200,1817.498963
-122.713875,200,1828.155648
