#{"t_start": 1768230013.9393933, "env_id": "None"}
r,l,t
-1.03,4,1.248815
-1.11,12,1.250317
-1.09,10,1.251815
-1.23,24,1.254816
-1.03,4,1.257815
-1.02,3,1.257815
-1.1,11,1.259315
-1.05,6,1.260315
-1.11,12,1.263816
-1.4499998,46,1.441342
-1.08,9,1.494355
-1.04,5,1.52286
-1.0699999,8,1.566368
-1.01,2,1.576867
-1.12,13,1.64811
-1.01,2,1.660614
-1.11,12,1.731623
-1.08,9,1.785137
-1.02,3,1.80164
-1.05,6,1.83514
-1.09,10,1.897149
-1.0699999,8,1.948654
-1.02,3,1.965163
-1.06,7,2.00317
-1.3699999,38,2.216212
-1.01,2,2.229212
-1.04,5,2.257173
-1.03,4,2.280721
-1.4099998,42,2.514773
-1.04,5,2.542796
-1.03,4,2.564795
-1.01,2,2.575795
-1.05,6,2.611803
-1.01,2,2.622303
-1.03,4,2.645306
0.6600001,35,2.839334
-1.03,4,2.865334
-1.23,24,3.004355
-1.02,3,3.02136
-1.08,9,3.070363
-1.02,3,3.089864
-1.04,5,3.118867
-1.02,3,3.136376
-1.03,4,3.160376
-1.01,2,3.17488
-1.08,9,3.229388
-1.03,4,3.251899
-1.11,12,3.322407
-1.04,5,3.355412
-1.08,9,3.407421
-1.05,6,3.441925
-1.16,17,3.534948
-1.0699999,8,3.584457
-1.12,13,3.660464
-1.05,6,3.694973
-1.09,10,3.752973
-1.08,9,3.804486
-1.11,12,3.871493
-1.06,7,3.909441
-1.0699999,8,3.952445
-1.26,27,4.104486
-1.02,3,4.121985
-1.09,10,4.176989
-1.2,21,4.299001
-1.01,2,4.313009
-1.09,10,4.37003
-1.09,10,4.425536
-1.26,27,4.576081
-1.12,13,4.652094
-1.09,10,4.708103
0.83,18,4.813626
-1.02,3,4.830126
-1.1800001,19,4.940152
-1.02,3,4.958663
-1.08,9,5.008171
-0.4999998,50,5.353252
-1.03,4,5.384253
-1.14,15,5.498488
-1.03,4,5.528006
-1.3999999,41,5.825541
-1.03,4,5.86005
0.72,29,6.065579
-1.05,6,6.098583
-1.13,14,6.182096
