#{"t_start": 1768229876.6532633, "env_id": "None"}
r,l,t
-1.06,7,1.170411
-1.03,4,1.170911
-1.04,5,1.171411
-1.04,5,1.171915
-1.06,7,1.174915
-1.01,2,1.174915
-1.04,5,1.175915
-1.0699999,8,1.177418
-1.1,11,1.180419
-1.0699999,8,1.181418
-1.01,2,1.181919
-1.19,20,1.184919
-1.03,4,1.187919
-1.0699999,8,1.188919
-1.27,28,1.298429
-1.04,5,1.320932
-1.15,16,1.398942
-1.04,5,1.427453
-1.17,18,1.509456
-1.17,18,1.588464
-1.02,3,1.604965
-1.01,2,1.614969
-1.13,14,1.679476
-1.04,5,1.701487
-1.02,3,1.719491
-1.24,25,1.846041
-1.06,7,1.892051
-1.08,9,1.937078
-1.25,26,2.062106
-1.01,2,2.071111
-1.04,5,2.092615
-1.2,21,2.190139
-1.3199999,33,2.345162
-1.04,5,2.367666
-1.04,5,2.390665
-1.01,2,2.400169
-1.14,15,2.487686
-1.23,24,2.601699
-1.06,7,2.634204
-1.04,5,2.656708
-1.12,13,2.721215
-1.28,29,2.856369
-1.05,6,2.883375
-1.03,4,2.902375
-1.24,25,3.017392
-1.0699999,8,3.056401
-1.02,3,3.0704
-1.04,5,3.097516
-1.4399998,45,3.317121
-1.03,4,3.334625
0.86,15,3.41782
-1.02,3,3.432324
-1.17,18,3.522346
-1.05,6,3.550848
-1.01,2,3.559852
-1.11,12,3.617859
-1.01,2,3.628859
-1.02,3,3.64286
-1.03,4,3.662364
-1.03,4,3.67987
-1.12,13,3.745387
-1.14,15,3.818926
-1.11,12,3.879435
-1.04,5,3.901939
-1.19,20,4.001955
-1.13,14,4.071461
-1.11,12,4.13097
-1.02,3,4.144471
-1.31,32,4.303001
-1.09,10,4.349506
-1.08,9,4.39251
-1.03,4,4.412018
-1.03,4,4.433018
-1.06,7,4.467018
-1.09,10,4.512531
-1.0699999,8,4.553138
-1.04,5,4.578137
-1.01,2,4.586638
-1.15,16,4.663158
-1.3699999,38,4.840682
-1.14,15,4.914186
-1.11,12,4.968695
-1.15,16,5.04721
-1.01,2,5.05771
-1.1,11,5.111719
-1.19,20,5.209227
-1.3199999,33,5.393795
-1.05,6,5.423205
-1.11,12,5.486317
-1.1,11,5.546822
-1.05,6,5.575827
-1.04,5,5.602332
-1.1,11,5.659849
-1.15,16,5.741859
-1.13,14,5.804876
-1.11,12,5.863889
-1.01,2,5.875891
0.69000006,32,6.028418
0.83,18,6.113935
-1.01,2,6.123436
-1.13,14,6.192959
-0.4999998,50,6.428984
-0.4999998,50,6.663531
-1.01,2,6.67303
-1.02,3,6.690537
-1.1800001,19,6.777528
-1.05,6,6.804555
-1.05,6,6.833055
-1.03,4,6.854559
-1.3199999,33,7.025584
-1.13,14,7.097099
-1.13,14,7.164111
-1.0699999,8,7.210111
-1.17,18,7.296808
-1.16,17,7.375322
-1.03,4,7.393322
-1.05,6,7.424331
-1.1,11,7.477839
-0.4999998,50,7.720388
-1.06,7,7.752897
-1.15,16,7.832408
0.61000013,40,8.025112
-0.4999998,50,8.262166
-1.01,2,8.271671
-1.0699999,8,8.312174
-1.23,24,8.428556
-1.13,14,8.503574
-1.12,13,8.572582
-1.3499999,36,8.75714
-1.2,21,8.856166
-1.08,9,8.900704
-0.4999998,50,9.147388
-1.04,5,9.173389
-0.4999998,50,9.409438
-1.02,3,9.423947
-1.04,5,9.449947
-1.01,2,9.462587
-1.04,5,9.485621
-1.03,4,9.506616
-0.4999998,50,9.747655
-1.4299998,44,9.963196
-1.3399999,35,10.13623
-1.04,5,10.159238
-1.01,2,10.168739
-1.04,5,10.194739
-0.4999998,50,10.429779
-1.22,23,10.5443
-1.01,2,10.554808
-1.09,10,10.604822
-1.0699999,8,10.653511
-1.19,20,10.74752
-0.4999998,50,10.992562
0.83,18,11.080075
-1.03,4,11.099079
-1.23,24,11.211102
-1.0699999,8,11.248605
-1.09,10,11.29861
-1.27,28,11.431324
-1.04,5,11.456328
-1.17,18,11.547848
-1.4899998,50,11.801388
0.89,12,11.861401
-1.01,2,11.872401
0.88,13,11.936415
-1.03,4,11.958415
0.78,23,12.070946
-0.4999998,50,12.312965
0.77,24,12.429982
0.6600001,35,12.600563
0.93,8,12.639562
-1.09,10,12.688075
-1.1800001,19,12.784095
0.87,14,12.855103
0.90000004,11,12.907612
-1.11,12,12.96912
-1.08,9,13.013134
0.91,10,13.066137
-1.03,4,13.084637
-1.01,2,13.095649
0.69000006,32,13.261165
0.87,14,13.328675
0.86,15,13.402212
0.77,24,13.518761
0.89,12,13.57527
-1.03,4,13.59727
-1.1800001,19,13.687283
0.90000004,11,13.744291
0.93,8,13.782295
0.93,8,13.8248
-1.04,5,13.8483
0.91,10,13.895808
0.81,20,13.992317
-1.13,14,14.061829
0.93,8,14.100837
0.78999996,22,14.205849
0.93,8,14.244855
-1.01,2,14.257354
0.89,12,14.314367
0.79999995,21,14.4179
-1.04,5,14.442405
0.93,8,14.485909
0.78,23,14.60593
0.91,10,14.682445
0.87,14,14.756003
0.90000004,11,14.811013
0.92,9,14.856026
-1.1,11,14.907531
0.89,12,14.96654
0.92,9,15.012044
0.91,10,15.062044
0.89,12,15.120553
0.91,10,15.170561
-1.16,17,15.252065
-1.08,9,15.296082
-1.03,4,15.316083
-1.13,14,15.387092
-1.0699999,8,15.427896
0.91,10,15.478624
0.88,13,15.546136
0.92,9,15.591141
0.78,23,15.704657
-1.0699999,8,15.744161
0.93,8,15.781665
0.6600001,35,15.954191
-1.02,3,15.972691
0.90000004,11,16.029209
0.89,12,16.088918
0.93,8,16.131427
0.91,10,16.184927
0.90000004,11,16.241441
-1.04,5,16.26644
0.89,12,16.321445
0.88,13,16.385458
0.88,13,16.447468
-1.05,6,16.476976
-1.06,7,16.50948
0.86,15,16.582002
-1.15,16,16.662512
0.91,10,16.710516
-1.0699999,8,16.748025
0.92,9,16.793856
0.92,9,16.848068
0.93,8,16.894576
0.90000004,11,16.947081
0.90000004,11,17.009093
0.87,14,17.079605
0.92,9,17.12261
-1.04,5,17.148114
0.91,10,17.202132
-1.01,2,17.212136
0.90000004,11,17.266145
0.93,8,17.304649
0.92,9,17.35065
-1.06,7,17.383666
-1.01,2,17.394165
-1.1,11,17.448373
0.71000004,30,17.607408
0.92,9,17.651408
0.93,8,17.694924
0.93,8,17.736424
0.88,13,17.801442
0.91,10,17.852941
-1.02,3,17.867443
0.93,8,17.907449
0.91,10,17.957457
0.91,10,18.008475
0.88,13,18.070477
0.75,26,18.196981
0.89,12,18.259492
-1.03,4,18.277492
0.92,9,18.322497
0.92,9,18.365505
0.91,10,18.419013
0.92,9,18.463074
-1.08,9,18.511582
0.91,10,18.561094
0.92,9,18.606599
0.91,10,18.654607
0.90000004,11,18.709117
0.93,8,18.751125
0.89,12,18.812667
0.93,8,18.852678
0.88,13,18.915685
0.93,8,18.957694
0.93,8,18.999194
-1.01,2,19.009193
0.91,10,19.062702
0.88,13,19.131716
-1.05,6,19.165725
0.93,8,19.206229
0.93,8,19.247732
0.93,8,19.287742
0.91,10,19.338242
0.93,8,19.37675
0.84000003,17,19.458758
0.93,8,19.499773
0.84000003,17,19.587787
0.90000004,11,19.640294
0.93,8,19.677804
0.89,12,19.735303
0.93,8,19.778317
-1.11,12,19.837321
0.93,8,19.877347
0.93,8,19.917357
0.92,9,19.964865
0.90000004,11,20.018368
0.87,14,20.08889
0.93,8,20.125899
0.89,12,20.188079
0.93,8,20.228083
0.91,10,20.274087
0.91,10,20.322094
0.93,8,20.361599
-1.08,9,20.407108
0.91,10,20.459118
-0.4999998,50,20.713662
0.90000004,11,20.77067
0.92,9,20.814178
-0.4999998,50,21.054217
0.93,8,21.093721
-1.05,6,21.125725
0.93,8,21.164237
-0.4999998,50,21.407761
0.91,10,21.457774
0.92,9,21.504783
0.93,8,21.543296
0.92,9,21.588301
0.87,14,21.656308
0.93,8,21.696813
0.83,18,21.785837
0.91,10,21.832841
0.93,8,21.872855
0.84000003,17,21.961369
0.93,8,22.012377
0.93,8,22.065887
0.90000004,11,22.137409
0.87,14,22.229931
0.82,19,22.348109
0.92,9,22.404622
0.83,18,22.51464
0.93,8,22.570144
0.93,8,22.620152
0.86,15,22.711669
-1.16,17,22.811191
0.72,29,22.957232
0.92,9,23.000741
-1.11,12,23.059753
-1.13,14,23.129766
-0.4999998,50,23.375304
-1.28,29,23.528618
0.83,18,23.643135
-1.4099998,42,23.851168
-0.4999998,50,24.097703
-1.16,17,24.182721
-1.4799998,49,24.430805
0.91,10,24.478824
-0.4999998,50,24.723876
-0.4999998,50,24.975447
-0.4999998,50,25.22749
-1.12,13,25.289999
-0.4999998,50,25.552067
-0.4999998,50,25.806189
-0.4999998,50,26.050233
-0.4999998,50,26.29126
-0.4999998,50,26.544297
-0.4999998,50,26.795834
-0.4999998,50,27.043054
-1.17,18,27.128576
-1.1800001,19,27.225091
-1.01,2,27.234085
-0.4999998,50,27.476627
-1.0699999,8,27.515155
-0.4999998,50,27.764183
-1.3299999,34,27.931206
-1.19,20,28.036718
0.60000014,41,28.245745
-0.4999998,50,28.491014
-1.17,18,28.580022
0.6600001,35,28.750543
0.79999995,21,28.851561
0.84000003,17,28.949079
0.83,18,29.041086
0.77,24,29.158247
0.78999996,22,29.261769
0.78999996,22,29.372781
0.73,28,29.509294
0.88,13,29.575808
0.88,13,29.643825
0.73,28,29.792008
-1.08,9,29.837017
0.5500002,46,30.060558
0.60000014,41,30.259085
-0.4999998,50,30.50312
-0.4999998,50,30.747154
0.75,26,30.877696
-0.4999998,50,31.128796
-0.4999998,50,31.382328
-1.4599998,47,31.624874
-1.2,21,31.726889
-1.19,20,31.825902
-0.4999998,50,32.075439
-0.4999998,50,32.323975
-0.4999998,50,32.57708
-0.4999998,50,32.862634
-0.4999998,50,33.125673
-0.4999998,50,33.37172
-0.4999998,50,33.617379
-0.4999998,50,33.864417
-0.4999998,50,34.120447
0.58000016,43,34.333477
-0.4999998,50,34.577513
-1.1800001,19,34.671022
-0.4999998,50,34.919569
-0.4999998,50,35.161141
-0.4999998,50,35.40039
-1.4799998,49,35.64643
-0.4999998,50,35.900967
-0.4999998,50,36.1485
-1.3399999,35,36.322528
-1.1,11,36.375536
-0.4999998,50,36.625237
0.58000016,43,36.841259
-0.4999998,50,37.096307
-0.4999998,50,37.345853
0.58000016,43,37.558392
-0.4999998,50,37.80645
-0.4999998,50,38.052566
-1.12,13,38.114579
-1.26,27,38.250101
-0.4999998,50,38.501638
-0.4999998,50,38.766897
-1.11,12,38.829909
-0.4999998,50,39.080009
-0.4999998,50,39.31858
-0.4999998,50,39.56461
-0.4999998,50,39.813141
-0.4999998,50,40.07076
-1.01,2,40.081259
-0.4999998,50,40.334314
-1.4799998,49,40.574343
-0.4999998,50,40.849885
-0.4999998,50,41.094424
0.6200001,39,41.28548
-0.4999998,50,41.53946
-0.4999998,50,41.798531
-0.4999998,50,42.043087
-0.4999998,50,42.287119
-0.4999998,50,42.529168
-0.4999998,50,42.775399
-0.4999998,50,43.020939
-0.4999998,50,43.269483
-0.4999998,50,43.513129
-0.4999998,50,43.764766
-0.4999998,50,44.01181
-0.4999998,50,44.254366
-0.4999998,50,44.506407
-0.4999998,50,44.758961
-0.4999998,50,45.009511
-0.4999998,50,45.25407
-0.4999998,50,45.501113
-0.4999998,50,45.750139
-1.13,14,45.817163
-0.4999998,50,46.064748
0.83,18,46.159437
-0.4999998,50,46.406965
0.71000004,30,46.549995
-1.06,7,46.582995
-1.05,6,46.612003
0.5500002,46,46.835003
-0.4999998,50,47.077537
-1.11,12,47.135546
-0.4999998,50,47.377089
-1.12,13,47.444125
-0.4999998,50,47.701167
-1.1800001,19,47.79669
-1.02,3,47.81119
-0.4999998,50,48.058223
-0.4999998,50,48.308765
-0.4999998,50,48.560261
-0.4999998,50,48.815994
-1.4299998,44,49.042523
-0.4999998,50,49.29056
-0.4999998,50,49.531128
-0.4999998,50,49.809219
-0.4999998,50,50.065762
-0.4999998,50,50.312329
-0.4999998,50,50.564876
0.59000015,42,50.777405
-0.4999998,50,51.027479
-0.4999998,50,51.274529
-0.4999998,50,51.526785
-0.4999998,50,51.77531
-0.4999998,50,52.048426
-0.4999998,50,52.357188
-0.4999998,50,52.675239
-1.06,7,52.719255
-0.4999998,50,53.003839
-0.4999998,50,53.250868
-0.4999998,50,53.494977
-0.4999998,50,53.747079
-0.4999998,50,53.993129
-0.4999998,50,54.236196
-0.4999998,50,54.477257
-0.4999998,50,54.726318
-1.19,20,54.826334
-0.4999998,50,55.076901
-0.4999998,50,55.328938
-0.4999998,50,55.571983
-0.4999998,50,55.819159
-0.4999998,50,56.065718
-0.4999998,50,56.310762
-0.4999998,50,56.563842
-0.4999998,50,56.820382
-0.4999998,50,57.064997
-0.4999998,50,57.31505
0.91,10,57.363054
-0.4999998,50,57.60959
-0.4999998,50,57.861046
-0.4999998,50,58.112069
-0.4999998,50,58.36264
-0.4999998,50,58.608913
-0.4999998,50,58.877453
-0.4999998,50,59.122995
-0.4999998,50,59.369546
-1.27,28,59.514583
-1.09,10,59.566087
-0.4999998,50,59.813537
-0.4999998,50,60.059083
-0.4999998,50,60.306113
-0.4999998,50,60.555161
-0.4999998,50,60.796205
-0.4999998,50,61.045136
-0.4999998,50,61.306195
0.6700001,34,61.487857
0.76,25,61.609382
0.83,18,61.696894
-0.4999998,50,61.946235
-0.4999998,50,62.186259
0.58000016,43,62.39729
-0.4999998,50,62.658021
-0.4999998,50,62.905555
-1.22,23,63.018219
-0.4999998,50,63.276257
-0.4999998,50,63.523312
-0.4999998,50,63.770093
-1.3399999,35,63.945115
-0.4999998,50,64.198155
0.6300001,38,64.38769
-0.4999998,50,64.630728
-0.4999998,50,64.873744
-0.4999998,50,65.124297
0.6700001,34,65.289011
-0.4999998,50,65.540063
0.5400002,47,65.775117
-1.4899998,50,66.020652
-1.3199999,33,66.181175
-0.4999998,50,66.429205
-0.4999998,50,66.674387
-1.3399999,35,66.845422
-0.4999998,50,67.102644
0.76,25,67.23717
-0.4999998,50,67.481212
-0.4999998,50,67.725252
-0.4999998,50,68.006798
-0.4999998,50,68.250849
-0.4999998,50,68.499916
-0.4999998,50,68.75421
-0.4999998,50,69.002761
-0.4999998,50,69.247131
-0.4999998,50,69.4932
-0.4999998,50,69.732244
-0.4999998,50,69.986292
-0.4999998,50,70.243364
-0.4999998,50,70.492911
-0.4999998,50,70.748598
-0.4999998,50,71.001036
-1.01,2,71.01404
-0.4999998,50,71.258073
-0.4999998,50,71.511227
-0.4999998,50,71.757767
-0.4999998,50,72.000514
-0.4999998,50,72.250581
-0.4999998,50,72.491136
-0.4999998,50,72.739676
-0.4999998,50,72.990227
-0.4999998,50,73.241992
-0.4999998,50,73.485181
-1.06,7,73.520193
-0.4999998,50,73.768023
-0.4999998,50,74.017577
-0.4999998,50,74.253772
-0.4999998,50,74.504297
-1.04,5,74.532805
-0.4999998,50,74.778374
-1.24,25,74.899398
-0.4999998,50,75.148445
-1.16,17,75.233459
-1.3499999,36,75.406491
-1.4499998,46,75.633514
-0.4999998,50,75.907555
-0.4999998,50,76.161795
-0.4999998,50,76.407356
-1.05,6,76.434356
-1.0699999,8,76.47286
-0.4999998,50,76.720412
-0.4999998,50,76.961964
-0.4999998,50,77.205489
-0.4999998,50,77.451076
-0.4999998,50,77.707627
-0.4999998,50,77.944683
-0.4999998,50,78.190269
-0.4999998,50,78.436818
-0.4999998,50,78.685379
-0.4999998,50,78.933577
-0.4999998,50,79.184131
-0.4999998,50,79.432171
-0.4999998,50,79.68071
-0.4999998,50,79.928749
-0.4999998,50,80.169807
-0.4999998,50,80.412356
-1.01,2,80.425861
-0.4999998,50,80.683895
-1.3699999,38,80.876013
-0.4999998,50,81.114045
-0.4999998,50,81.360602
-0.4999998,50,81.608793
-0.4999998,50,81.854827
-1.17,18,81.939834
-0.4999998,50,82.235387
-1.12,13,82.3179
-0.4999998,50,82.630441
-0.4999998,50,82.939098
-0.4999998,50,83.184722
-1.3899999,40,83.382748
-0.4999998,50,83.631872
-0.4999998,50,83.884606
-0.4999998,50,84.126158
-0.4999998,50,84.371233
