#{"t_start": 1768230433.6103673, "env_id": "None"}
r,l,t
-2.75,3,0.866606
-9.0,13,0.868106
-4.75,5,0.868606
-10.375,11,0.869608
-2.875,3,0.871606
-10.625,13,0.872606
-8.0,9,0.874106
-7.5,9,0.874605
-4.75,5,0.876606
-12.875,20,0.87811
-4.75,5,0.878613
-4.5,5,0.879117
-5.625,6,0.90736
-1.875,2,0.912372
-1.875,2,0.916871
-7.875,11,0.940878
-12.625,23,0.994433
-1.875,2,1.000933
-10.875,15,1.033974
-5.5,6,1.047474
-14.125,21,1.096536
-3.875,4,1.104541
-15.875,22,1.154092
-1.875,2,1.157593
-7.625,8,1.177621
-1.875,2,1.182134
-8.625,17,1.217654
-4.0,5,1.230664
-10.625,18,1.284755
-5.5,12,1.310264
-6.25,8,1.327781
-1.875,2,1.335306
-1.875,2,1.342316
-6.875,7,1.35833
-7.625,9,1.377348
-6.75,7,1.392857
-4.625,5,1.415762
-4.875,5,1.425774
-9.375,10,1.446291
-6.5,8,1.464301
-9.625,12,1.491318
-8.625,9,1.509834
-13.375,18,1.545884
-7.125,8,1.563936
-7.25,9,1.585961
-5.125,6,1.598982
-7.75,10,1.619503
-4.75,5,1.630018
-1.875,2,1.636525
-8.5,10,1.660299
-2.875,3,1.6673
-6.25,7,1.683323
-3.875,13,1.71385
-6.625,7,1.726871
-7.375,9,1.745405
-17.25,18,1.785443
-12.0,17,1.829473
-2.75,3,1.836981
-4.75,5,1.849988
-6.25,8,1.866506
-22.875,37,1.951065
-9.625,13,1.980075
-3.875,4,1.987576
-15.625,17,2.023592
-9.25,11,2.049126
-4.75,5,2.059126
-13.625,17,2.095153
-4.625,5,2.105663
-5.75,6,2.12019
-10.375,11,2.143216
-1.875,2,2.147218
-9.0,10,2.169742
-14.875,23,2.228284
-11.875,13,2.257801
-3.875,4,2.266811
-2.75,3,2.273311
-5.0,15,2.308835
-6.0,7,2.323571
-2.875,3,2.330571
-1.875,2,2.335071
-1.875,2,2.34157
-3.875,4,2.350082
-1.875,2,2.355086
-4.875,5,2.365596
-8.375,11,2.394632
-2.875,3,2.401632
-11.25,15,2.434169
-3.875,4,2.442168
-3.875,4,2.453673
-6.75,8,2.471193
-7.5,11,2.495206
-2.875,3,2.502206
-7.875,9,2.524222
-1.875,2,2.52873
-3.75,11,2.552748
-7.0,10,2.576781
-2.875,3,2.586292
-1.875,2,2.590791
-19.625,31,2.661385
-2.875,3,2.667889
-4.875,5,2.680912
-8.5,11,2.704925
-4.875,5,2.717131
-1.875,2,2.721633
-2.875,3,2.73015
-1.875,2,2.735166
-1.875,2,2.738673
-4.75,5,2.750183
-1.875,2,2.757186
-1.875,2,2.761817
-12.25,15,2.792846
-8.875,9,2.812362
-20.75,29,2.877395
-1.875,2,2.882903
-2.75,3,2.888903
-3.875,4,2.896912
-1.875,2,2.903909
-5.125,6,2.916925
-1.875,2,2.920927
-5.375,7,2.937439
-7.25,9,2.96441
-2.75,3,2.973471
-5.375,6,2.986482
-2.875,3,2.992982
-2.875,3,3.001493
-2.875,3,3.007493
-1.875,2,3.011503
-10.625,15,3.044024
-2.875,3,3.05304
-2.875,3,3.059539
