#{"t_start": 1768235593.962337, "env_id": "None"}
r,l,t
-938.43994,200,0.032018
-1736.1888,200,0.055524
-1192.5833,200,0.079031
-967.1141,200,0.103037
-1079.5667,200,0.128555
-1074.1393,200,0.818145
-1131.5964,200,1.506467
-1277.482,200,2.200468
-1463.21,200,3.192343
-1002.8798,200,3.890835
-952.0286,200,4.656173
-1253.233,200,5.494829
-1634.2216,200,6.363349
-1404.252,200,7.227621
-1087.2269,200,7.955111
-1126.8168,200,8.677118
-1753.0248,200,9.705422
-1476.977,200,10.46302
-1480.0829,200,11.21694
-1749.9877,200,12.219802
-1823.7787,200,12.919165
-1645.9889,200,13.611704
-1855.5594,200,14.536365
-1410.9033,200,15.496303
-1790.6896,200,16.314381
-1552.9972,200,17.043399
-1418.4067,200,17.856784
-1618.392,200,18.72522
-1688.5192,200,19.567676
-1147.7682,200,20.264115
-1474.4126,200,21.264102
-1815.5293,200,22.206889
-1773.8228,200,23.020767
-1613.331,200,23.775415
-1724.4493,200,24.45985
-1517.0359,200,25.172836
-1256.104,200,26.033579
-1559.0264,200,26.765101
-1709.2368,200,27.491066
-1345.8324,200,28.24832
-1243.8491,200,29.079341
-1443.1833,200,29.960564
-1416.7406,200,30.867265
-1142.0927,200,31.767226
-961.32544,200,32.496242
-1303.1315,200,33.193695
-1293.8765,200,33.966107
-1101.326,200,35.051428
-995.7777,200,35.97119
-897.32574,200,36.958998
