#{"t_start": 1768236100.5253232, "env_id": "None"}
r,l,t
0.8333334,30,8.33128
0.8333334,30,8.42434
1.8333334,27,8.50489
0.5,30,8.599948
-0.8333333,2,8.606448
-0.5,9,8.632467
-0.5,9,8.65948
-0.5,5,8.674993
1.8333334,13,8.713518
-0.5,8,8.737031
0.5,30,8.830588
1.8333334,15,8.879613
-0.5,28,8.967672
0.6666667,30,9.060879
-0.8333333,4,9.072886
1.8333334,14,9.11685
-0.8333333,2,9.122858
1.8333334,8,9.149373
-0.8333333,2,9.157379
-0.5,6,9.176392
1.8333334,10,9.206911
0.8333334,30,9.301469
0.8333334,30,9.39402
1.8333334,23,9.46521
-0.8333333,2,9.470717
-0.5,7,9.49123
1.8333334,11,9.525749
0.8333334,30,9.616807
0.8333334,30,9.71398
1.8333334,6,9.732492
-0.5,17,9.785525
1.8333334,30,9.870578
-0.5,10,9.903097
1.8333334,11,9.93711
0.3333333,30,10.019661
0.8333334,30,10.107212
1.8333334,7,10.129732
1.8333334,21,10.191264
1.8333334,17,10.240796
-0.5,7,10.262308
1.8333334,15,10.307837
-0.5,4,10.319847
1.8333334,23,10.388875
0.8333334,30,10.480434
1.8333334,29,10.570993
0.6666667,30,10.666051
1.8333334,16,10.714077
0.6666667,30,10.802765
-0.5,16,10.84792
0.5,30,10.938477
-0.5,9,10.96649
-0.8333333,2,10.973496
1.8333334,28,11.056547
0.8333334,30,11.158116
-0.8333333,2,11.167116
0.6666667,30,11.254176
-0.8333333,2,11.259676
0.5,30,11.356233
1.8333334,12,11.39676
0.5,30,11.485318
0.5,30,11.573369
-0.5,5,11.586875
0.6666667,30,11.671427
1.8333334,18,11.724961
1.8333334,22,11.788149
0.8333334,30,11.8752
0.8333334,30,11.962252
1.8333334,19,12.02579
1.8333334,10,12.062315
0.6666667,30,12.151855
-0.5,28,12.235088
1.8333334,7,12.257101
1.8333334,25,12.326152
-0.5,21,12.38819
1.8333334,20,12.449225
1.8333334,17,12.499755
-0.8333333,10,12.528274
1.8333334,12,12.563793
0.8333334,30,12.652344
-0.5,12,12.688363
1.8333334,12,12.722884
-0.8333334,13,12.759402
1.8333334,25,12.831947
1.8333334,28,12.915499
1.8333334,27,12.993544
-0.5,23,13.068089
1.8333334,22,13.130185
1.8333334,14,13.173714
1.8333334,24,13.244256
0.5,30,13.336814
0.5,30,13.422865
-0.5,11,13.45939
0.8333334,30,13.548091
0.8333334,30,13.639148
1.8333334,6,13.655655
1.8333334,22,13.7292
-0.8333333,6,13.745713
0.6666667,30,13.840774
0.8333334,30,13.934331
1.8333334,27,14.016882
0.8333334,30,14.107432
1.8333334,18,14.16547
-0.5,4,14.176977
0.8333334,30,14.272534
0.8333334,30,14.364098
1.8333334,7,14.384611
1.8333334,21,14.453149
1.8333334,10,14.483821
1.8333334,13,14.521847
1.8333334,10,14.550867
1.8333334,10,14.580887
0.8333334,30,14.670938
1.8333334,24,14.742983
-0.8333333,2,14.749989
0.8333334,30,14.84054
1.8333334,11,14.87356
0.8333334,30,14.966759
0.5,30,15.060317
1.8333334,20,15.119851
1.8333334,8,15.146364
0.8333334,30,15.237422
1.8333334,8,15.259441
0.6666667,30,15.349005
1.8333334,24,15.422057
0.8333334,30,15.510619
0.8333334,30,15.59717
1.8333334,11,15.629189
1.8333334,27,15.713241
1.8333334,23,15.779786
0.16666667,30,15.867035
-0.8333333,4,15.878042
0.8333334,30,15.974099
1.8333334,11,16.007125
0.8333334,30,16.101305
0.33333334,30,16.197874
0.8333334,30,16.298932
1.8333334,30,16.390989
0.8333334,30,16.484035
0.5,30,16.571086
0.8333334,30,16.663638
0.8333334,30,16.759196
0.8333334,30,16.857754
0.8333334,30,16.949305
-0.8333333,3,16.959311
0.8333334,30,17.053387
0.6666667,30,17.147447
-0.8333333,2,17.15295
-0.8333333,3,17.16446
0.8333334,30,17.255103
0.8333334,30,17.348661
0.8333334,30,17.440211
0.8333334,30,17.534273
1.8333334,16,17.580296
0.8333334,30,17.670502
0.8333334,30,17.76106
0.8333334,30,17.858119
0.8333334,30,17.953677
1.8333334,6,17.972691
1.8333334,9,18.001203
0.8333334,30,18.09526
0.8333334,30,18.190318
0.8333334,30,18.289882
