#{"t_start": 1768226201.0466022, "env_id": "None"}
r,l,t
-1356.0072,200,2.079483
-1767.8405,200,6.446899
-1619.3662,200,10.1892
-1669.5305,200,14.066853
-1367.3313,200,17.880453
-1460.6323,200,21.561391
-1358.2478,200,25.546222
-1126.9285,200,29.853959
-1327.4117,200,33.924719
-1147.5458,200,37.581488
-1239.109,200,41.271085
-886.92084,200,45.358461
-907.0373,200,49.441517
-769.5819,200,53.367666
-642.68823,200,57.257429
-256.13666,200,61.111742
-130.58936,200,64.577717
-381.4432,200,68.106002
-256.7423,200,71.633854
-3.310824,200,75.699409
-126.80841,200,79.704227
-242.4458,200,83.671284
-127.26767,200,87.65756
-128.21638,200,91.502286
-117.20075,200,95.214224
-122.82196,200,98.863438
-122.83247,200,102.42492
-2.5798936,200,106.022705
-240.63144,200,109.68991
-125.9299,200,113.536847
-127.713554,200,117.332604
-126.12328,200,121.19017
-3.0006275,200,125.180635
-359.43362,200,129.353348
-119.55627,200,133.39644
-247.93306,200,137.325759
-235.92368,200,140.934842
-123.72667,200,144.766342
-127.82795,200,148.670146
-124.173454,200,152.583964
-122.31786,200,156.56058
-355.81522,200,160.400582
-120.03118,200,164.083849
-120.60161,200,167.924549
-248.16925,200,171.579038
-4.474074,200,175.263294
-121.43822,200,178.888748
-123.473366,200,182.548185
-251.5777,200,186.21513
-228.85838,200,189.886145
-121.98668,200,194.505622
-117.077286,200,198.118495
-127.88704,200,201.813765
-254.58188,200,205.412702
-127.85797,200,209.081102
-121.05268,200,212.742589
-123.60071,200,216.510803
-117.114716,200,220.196357
-3.6898255,200,223.926085
-126.37296,200,227.70587
-233.38034,200,231.270284
-239.65019,200,235.026228
-121.77894,200,238.790323
-236.36852,200,242.574979
-123.60215,200,246.19603
-129.57303,200,249.752849
-4.840404,200,253.331064
-240.81642,200,257.056424
-120.9199,200,260.643597
-2.119494,200,264.314632
-234.83981,200,268.052445
-2.5230706,200,272.390297
-123.065674,200,276.50873
-126.551544,200,280.732924
-115.36225,200,285.297055
-236.97743,200,290.040722
-236.02486,200,294.69526
-120.54568,200,299.520102
-118.34583,200,304.427872
-245.86865,200,309.357555
-115.49819,200,313.999084
-2.9856827,200,318.711127
-116.54451,200,323.288878
-124.68291,200,327.930688
-120.753235,200,332.550103
-122.21685,200,336.888133
-114.87486,200,341.348841
-3.466769,200,346.004451
-229.14812,200,350.635965
-227.50989,200,355.407702
-2.1540966,200,360.354242
-117.41491,200,365.210738
-125.16445,200,370.072841
-120.33979,200,374.883107
-243.68903,200,379.648767
-240.00568,200,384.532741
-117.77241,200,389.406577
-127.51298,200,394.533147
-116.696304,200,399.714799
-115.62534,200,404.902562
-2.5377991,200,410.918576
-356.1419,200,415.734573
-239.40222,200,420.540899
-236.99805,200,425.206987
-122.55189,200,430.057216
-120.34301,200,435.512928
-120.589325,200,440.894901
-233.82405,200,445.74262
